1000-016;Av. Almirante gago Coutinho 2A-4b
1000-018;Rua Aquele Monte Verde 2A
1000-044;AVENIDA ANTÓNIO JOSÉ DE ALMEIDA 28A
1000-049;AV.ALMIRANTE REIS, 231 - 2ºESQ
1000-081;CAMPO PEQUENO, EDIF. TAURUS, Nº48 - 2ºES
1000-090;AV.CASAL RIBEIRO,1-A
1000-109;AV.DEFENSORES DE CHAVES, 3 C
1000-112;AV.DEFENSORES DE CHAVES,45 - 4º
1000-120;AV DEFENSORES DE CHAVES 46AB
1000-137;RUA D. FILIPA DE VILHENA 30 B
1000-149;AV.ELIAS GARCIA, 20-1ºDRT
1000-154;R. DONA ESTEFANIA, 175
1000-156;RUA D. ESTEFANIA 48 2º ESQ.
1000-166;Av. Guerra Junqueiro, 9A
1000-188;Largo do Leao n# 9
1000-203;AV.MANUEL DA MAIA,46 LETRA-A
1000-207;AV.MIGUEL BOMBARDA,7A
1000-228;AV. DE PARIS,4 - 3ºESQ
1000-244;RUA PONTA DELGADA, Nº76, R/C-DTO.
1000-260;Avenida de Roma,3B LISBOA
1000-262;Avenida de Roma, 31C
1000-265;Av. de Roma, Nº 12 - 3º Dt.
1000-271;AV.SACADURA CABRAL, 21B
1049-004;R.D.FILIPA VILHENA,38
1049-012;AV.ANT.J. ALMEIDA,5-LJ229/231
1049-021;RUA VISCONDE DE SANTARÉM 18
1049-053;Av. Casal Ribeiro,59-0
1050-006;AV ALEXANDRE HERCULANO 9A, 1
1050-007;R Andrade Corvo N.15/15A/15B
1050-008;R. ANDRADE CORVO Nº 27 4º ESQ.
1050-012;AV. ANTÓNIO AUGUSTO DE AGUIAR, N.º17 - 5
1050-013;AV.ANTONIO AUG.AGUIAR,31
1050-016;Av. António Augusto Aguiar, 40-A
1050-019;AV.A.AUGUSTO AGUIAR,108-7
1050-020; Av. António Augusto de Aguiar 132
1050-027;Avenida João Crisóstomo 30
1050-030;AV.BARBOSA BOCAGE,85
1050-031;AV.BARBOSA DU BOCAGE, N.º 113 - 1.º
1050-038;AVENIDA DE BERNA, Nº 35 - 5º DTO.
1050-052;AV. 5 DE OUTUBRO, 125 - 1
1050-053;Rua Dr. Eduardo Neves 9
1050-057;AV. 5 DE OUTUBRO, 48- 2º
1050-059;Avenida 5 de Outubro,60/68 LISBOA
1050-060;AV. 5 OUTUBRO, 104 R/C
1050-070;R.RODRIGO FONSECA,73
1050-076;R.DR.ANTONIO CANDIDO,10A
1050-081;AV. DUQUE D' AVILA, Nº 141, 2º DTO
1050-083;Avenida Duque de Avila, nª46-6ª
1050-084;Av. Duque D´Avila, 92A
1050-090;AVENIDA DUQUE LOULÉ 22, 6
1050-094;ATRIUM SALDANHA PISO 2 LOJA 65
1050-113;RUA FILIPE FOLQUE N.º2 6ESQ
1050-115;AV.FONTES PER.MELO, 3-11º Dto
1050-118;Av. Fontes Pereira de Melo 35
1050-120;AV.FONTES P.MELO,51-3 A/E
1050-121;AV.F.PER.MELO,14-9.
1050-124;RUA IVONE SILVA 6, 2
1050-127;Av. João Crisóstomo 30A
1050-132;R.LAT.COELHO-EDF.AVIZ BL.A1-16
1050-145;AVENIDA LUIS BIVAR, Nº 38B
1050-153;AVENIDA MARQUÊS DE TOMAR 35, 6
1050-155;AV. MARQUES DE TOMAR, 2, 4º ANDAR
1050-161;Av. Miguel Bombarda 37 b
1050-186;Avenida da República, 35, 8º piso
1050-187;AVENIDA DA REPÚBLICA 45, 3 ESQ
1050-188;AV.REPUBLICA,53-RC
1050-190;Av. da República, 99-B
1050-193;AV.REPUBLICA,30-P.0
1050-196;AV.REPUBLICA, 50-7ºA
1050-220;R TENENTE ESPANCA 3A
1050-242;AV. VISCONDE VALMOR 66-5º
1050-243;AVENIDA REPÚBLICA 83, 9
1050-248;AV. DA REPÚBLICA, 23 R/C
1050-253;RUA ENGENHEIRO CANTO RESENDE Nº 2
1069-031;AV.LIBERDADE,242-R/C
1069-047;AV.DUQUE AVILA,116B-P.1
1069-075;AV.DUQUE D'AVILA, 66 - 5º
1069-097;AV.FONTES P.MELO,51-3 A/E
1069-169;R. LAURA ALVES, 9A
1069-170;AV.BERNA 24D
1069-181;AVENIDA MARQUÊS DE TOMAR 91, 3
1069-215;AV. JULIO DINIS, C.C ARCO IRIS
1069-413;AV. ANTONIO AUGUSTO AGUIAR 31
1070-013;Rua Artilharia Um N. 46
1070-015;RUA ARTILHARIA 1 104 ESQ
1070-040;R.CAMPOLIDE,372-P.1
1070-046;R CARLOS A MOTA PINTO 9-5C
1070-050;R.CASTILHO,165
1070-060;Av. COL.BORDALO PINHEIRO.N,9B
1070-061;AV. COL. BORDALO PINHEIRO 75 6 Andar
1070-072;AV. CONS. FERNANDO DE SOUSA N 19 5º
1070-085;R.DR.FRANCISCO MANUEL DE MELO,21
1070-100;Av. Eng. Duarte Pacheco 19
1070-103;AMOREIRAS SHOPPING CENTER
1070-128;Rua Fialho de Almeida 21
1070-170;R. MARQUES DE SUBSERRA, 1
1070-179;RUA JOAQUIM A. AGUIAR, N.º 19 - 2
1070-184;LG.MONT.MASCARENHAS,1
1070-239;AV IGREJA Nº 42, 5º
1070-374;Ed. Amoreira Plaza
1099-004;R.CASTILHO,233
1099-010;Avenida José Malhoa,27 LISBOA
1099-011;R.MARQUE FRONTEIRA,54
1099-035;RUA ENG. FERREIRA MESQUITA 1
1099-042;AV.ENG.DUARTE PACHECO - 13.º A TORRE 2
1099-067;R.RODRIGO DA FONSECA,178-5 ESQ
1100-000;PR.MUNICIPIO
1100-038;RUA DO ARSENAL 25
1100-060;R.OURO,49-4
1100-063;Rua Áurea,120 LISBOA
1100-077;RUA BARROS QUEIROS, Nº 20 1º ESQ.
1100-184;RUA DO CRUCIFIXO, Nº 76 -3º Sala 0
1100-229;LIANE_ESC. - Rua dos Fanqueiros, Nº146
1100-340;CALCADA MARQUES.TANCOS,2
1100-365;PR.MUN.-PACOS CONCELHO,1
1100-411;Largo das Portas do Sol
1100-548;RUA SÃO NICOLAU, N.º 121 - 1.º
1100-576;RUA DOS SAPATEIROS 39, 4º ESQ.
1149-031;POLLUX_PISO_IT - Rua dos Fanqueiros - Nº
1149-049;ESCADINHAS S.CRISPIM n.7
1149-079;COSTA DO CASTELO 1
1150-006;Rua Alexandre Herculano nº6
1150-011;AV. ALMIRANTE REIS 65A
1150-101;RUA CONDE REDONDO 13
1150-102;R.CONDE REDONDO, 61 - 3ºA
1150-106;Rua Conde de Redondo, n.ºs 10 e 10 A LIS
1150-248;R Padre Luis Aparicio 9
1150-279;RUA RODRIGUES SAMPAIO 97- 4º
1150-320;LARGO DE SÃO DOMINGOS
1169-005;TRAVESSA CRUZ TOREL,1
1169-148;TRAV. DA ESCOLA ARAUJO 15
1169-149;TRAV. DA ESCOLA ARAUJO 15
1170-014;RUA ANDRADE, N.º 41 A
1170-070;Travessa do Calado n.º 2
1170-193;RUA JOSÉ FALCÃO Nº 34 - A
1170-275;RUA NEWTON 5
1170-278;Praça Olegário Mariano, 4 - 3º Esq.
1199-018;AV. CORONEL EDUARDO GALHARDO, 22B
1200-000;Rua de São Marçal - Nº7
1200-003;RUA DA ACADEMIA DAS CIENCIAS, Nº7 ANEXO
1200-094;R. DO CARMO 2
1200-131;Travessa do Corpo Santo, 10 - 1.º esq.
1200-151;RUA D. LUIS I 6
1200-153;Largo Dr. António de Sousa de Macedo - N
1200-204;R. GARRET,64
1200-225;Rua Instituto industrial nº18 E
1200-236;R.JOAO PEREIRA DA ROSA 22
1200-246;RUA LUZ SORIANO, 67-2º E
1200-288;R.NOVA ALMADA,53-2.
1200-300;Calçada Nova de São Francisco 10
1200-301;RUA NOVA DA TRINDADE Nº 1 3º DTO
1200-371;RUA DOS REMOLARES, 14- 2º
1200-426;RUA SÃO PAULO Nº39 E 41
1200-470;LG.TRINDADE COELHO,1
1200-478;AV.24 JULHO,32/38-P.0
1200-482;RUA VITOR CORDON, N.º 37-3.º ESQ.
1200-647;AV. D. CARLOS I N89 R/C
1200-660;Rua da Esperança, Nº146
1200-668;RUA DA ESTRELA N.º 21
1200-707;R.MACHADINHO,20
